model,max_len,mean,median,p90,p95,p99,max,pct_truncated,n_truncated,pct_tokens_lost
muril,96,25.4,18.0,50.0,69.0,124.0,346,2.0,151,3.25
cnerg_muril,96,24.86,18.0,49.0,68.0,119.0,343,1.82,137,3.0
mBERT,96,27.01,19.0,53.4,73.0,132.54,372,2.42,183,3.8
XLM-R / cnerg_xlmr,96,25.52,18.0,50.0,68.7,122.0,354,1.99,150,3.15
mDeBERTa-v3,96,26.26,19.0,52.0,71.0,125.0,362,2.12,160,3.37
ModernBERT,96,30.0,22.0,59.0,80.0,145.0,401,3.21,242,4.54
CANINE (ky tu),256,76.53,54.0,156.0,216.0,389.54,1070,3.29,248,4.91
